2,20
2,14
2,14
2,4
2,30
2,3
1,3
2,10
1,7
1,7
1,5
1,3
2,15
2,20
2,2
1,2
1,4
1,5
1,5
1,10
2,8
1,8
1,5
1,5
2,2
2,5
1,4
1,4
2,30
1,2
2,7
1,6
1,10
1,3
1,5
2,15
2,5
1,20
2,30
1,3
1,7
1,3
1,3
1,10
2,7
2,5
2,14
1,21
2,14
1,2
1,2
2,6
2,6
1,3
1,1
1,1
1,2
2,10
1,6
1,5
2,30
1,3
1,1
2,9
2,40
1,30
1,2
1,3
2,30
2,7
1,3
1,5
2,4
1,5
1,2
2,12
1,5
2,5
2,15
2,15
1,4
2,20
1,4
1,6
1,2
1,8
2,15
1,9
1,5
1,7
1,3
1,3
2,15
2,25
2,18
2,18
2,40
2,7
2,7
1,5
1,5
1,5
1,3
1,5
1,5
2,4
2,2
1,9
1,3
2,7
2,8
2,4
2,7
1,3
1,3
1,5
2,20
2,25
1,6
2,5
1,4
1,4
2,3
2,3
1,7
1,2
2,30
2,30
2,1
2,12
1,8
2,8
1,4
2,15
1,6
1,6
2,50
1,6
2,6
2,2
2,14
1,8
2,7
2,1
1,1
1,1
1,5
2,30
2,30
1,2
1,2
1,5
1,5
1,6
1,2
1,7
1,2
1,6
2,1
1,2
1,3
1,3
2,45
2,10
1,2
2,12
1,10
2,12
1,5
1,10
2,5
1,1
2,1
1,6
1,2
1,2
2,6
1,3
1,7
2,20
2,5
2,24
1,1
1,4
1,10
1,4
1,2
2,10
2,4
1,3
1,2
2,4
1,4
1,6
1,5
1,4
1,10
1,5
2,5
1,5
2,7
1,5
2,30
1,12
2,12
2,8
2,2
1,30
2,30
2,30
2,1
1,1
1,2
1,4
1,4
1,1
2,5
2,8
2,8
1,5
2,3
1,6
2,2
1,2
1,2
2,8
1,6
1,1
2,15
2,15
2,17
1,4
1,1
1,8
1,8
2,1
1,2
1,4
1,5
1,2
1,4
1,4
2,5
1,3
1,1
1,10
1,5
2,5
1,2
1,1
2,2
2,16
2,16
2,14
1,5
1,3
1,5
1,4
1,4
1,3
1,3
1,4
1,7
1,6
2,6
1,1
1,1
1,4
2,23
2,23
1,6
1,4
2,20
1,10
1,10
1,1
2,15
2,5
1,6
1,6
1,6
1,5
2,17
2,14
2,14
2,15
2,14
2,14
2,30
1,6
1,20
2,20
2,50
1,8
1,8
1,2
1,1
2,1
2,20
2,8
1,8
2,8
1,2
2,2
2,13
2,42
1,1
1,4
1,4
2,3
1,15
1,1
1,1
2,2
1,7
1,3
1,3
2,20
2,20
2,10
1,10
2,14
2,14
2,6
1,1
1,4
2,30
2,30
2,2
2,15
2,15
1,4
1,4
1,3
2,20
2,20
1,3
1,3
2,20
2,3
2,15
1,5
1,9
2,9
2,4
2,11
1,3
1,3
2,11
2,11
1,5
1,5
2,7
1,2
2,5
1,4
1,4
1,9
2,9
1,8
2,8
1,5
2,21
1,6
2,30
2,30
2,11
2,11
1,2
1,9
2,9
1,3
1,3
1,5
1,5
1,4
1,8
1,8
1,7
1,7
1,7
2,1
1,4
1,4
2,15
2,15
1,3
1,3
2,7
2,30
1,2
1,4
1,2
1,3
1,3
2,3
1,5
2,10
1,3
1,3
1,4
1,2
1,2
2,2
2,35
2,25
1,4
2,2
1,5
1,5
1,20
1,6
2,3
2,18
1,2
1,2
2,30
2,30
1,6
2,5
1,12
1,5
1,5
1,5
1,4
1,3
2,9
1,5
1,7
1,8
1,5
1,5
1,2
1,2
1,8
1,8
1,1
2,3
1,5
2,3
2,8
1,1
1,1
1,3
1,5
1,3
1,2
1,5
1,5
1,6
1,4
1,4
1,4
2,8
2,20
2,20
2,5
1,5
2,3
1,2
1,2
2,6
1,5
1,9
1,10
1,10
1,1
2,1
1,6
2,7
2,12
1,12
1,2
2,2
2,30
1,6
1,5
2,7
2,1
1,1
1,2
1,3
1,2
1,4
1,4
1,3
1,5
1,5
1,16
1,1
1,3
1,3
1,3
1,4
2,4
1,2
1,6
2,50
1,4
1,3
1,5
2,5
2,12
2,12
2,2
2,15
1,8
1,6
1,2
1,1
1,2
1,2
1,2
2,2
1,5
2,20
2,2
2,5
1,3
1,20
1,7
1,3
1,2
1,5
2,15
2,15
2,13
1,3
2,14
1,6
1,6
1,2
1,6
2,6
1,2
1,1
2,3
1,3
1,2
2,20
2,20
1,15
1,3
2,14
2,14
1,3
1,3
1,3
1,5
2,13
2,13
2,15
2,15
1,9
1,9
2,56
1,1
1,1
1,1
1,5
1,5
1,2
1,2
1,2
1,1
1,1
2,57
2,11
1,3
1,3
2,18
2,18
1,1
2,22
1,2
1,4
2,25
2,25
2,15
1,8
2,8
1,2
1,3
2,21
2,11
2,11
2,30
2,30
2,37
2,15
2,15
2,12
1,2
1,2
1,2
1,1
