season,year,bestgrade2,bestgrade3,bestgrade4,bestgrade5
Spring,2014,A,2,3,8
Autumn,2014,A,6,1,1
Spring,2014,A,10,4,1
Spring,2013,A,6,1,9
Autumn,2014,A,1,1,10
Spring,2013,A,4,5,10
Spring,2014,A,10,4,10
Summer,2013,A,1,7,1
Spring,2013,A,3,5,9
Spring,2013,A,10,4,1
Spring,2014,A,5,3,9
Spring,2013,A,8,7,10
Spring,2014,A,1,7,10
Spring,2013,A,4,3,10
Spring,2014,A,3,4,9
Spring,2013,A,2,3,9
High school,current,A,8,6,8
Spring,2014,A,6,3,10
Spring,2014,A,7,5,9
Spring,2013,A,6,2,10
Spring,2014,A,10,2,10
Spring,2014,A,5,5,9
Spring,2014,A,10,1,8
Spring,2014,A,3,2,10
Spring,2013,A,10,5,8
Summer,2013,A,1,4,1
Spring,2014,A,9,1,9
Spring,2013,A,7,4,8
High school,2011,A,2,2,10
Summer,2014,A,6,4,1
Spring,2013,A,6,5,10
High school,2012,A,7,1,8
Spring,2014,A,2,3,9
Autumn,2013,A,6,1,1
Spring,2013,A,10,2,8
Spring,2014,A,1,2,8
Spring,2013,A,6,4,1
Spring,2013,A,5,2,8
Spring,2013,A,1,7,9
Spring,2014,A,7,2,9
High school,current,B,10,3,8
Summer,2014,A,10,4,1
Spring,2013,A,10,2,9
Spring,2013,A,6,4,1
Spring,2014,A,9,5,9
Spring,2014,A,9,3,9
Autumn,2014,B,7,1,8
Spring,2013,A,8,4,10
Spring,2013,A,7,2,9
Spring,2014,A,3,3,9
Spring,2013,A,4,1,8
Spring,2013,A,7,4,9
Spring,2013,A,8,5,8
Spring,2014,A,6,1,8
Autumn,2014,A,1,1,1
Spring,2014,A,2,3,9
Spring,2014,A,6,1,10
High school,2010,A,4,1,9
High school,2011,A,9,3,9
Spring,2013,A,6,4,1
Spring,2014,A,5,5,8
Spring,2014,A,6,4,6
Spring,2014,A,1,3,8
Spring,2013,A,6,3,10
Spring,2014,A,8,3,8
Spring,2013,A,6,4,1
Spring,2014,A,4,1,9
Spring,2013,A,5,3,8
Spring,2014,A,3,2,10
Spring,2013,A,7,3,8
Spring,2014,A,5,3,10
Spring,2013,A,2,4,9
Spring,2014,A,3,2,8
Spring,2013,A,5,5,8
Spring,2013,A,10,4,1
Spring,2014,A,4,5,9
Spring,2013,A,6,4,1
Spring,2014,A,1,7,1
Spring,2014,A,4,5,8
Spring,2013,E,5,5,9
Spring,2013,A,8,3,9
Spring,2014,A,10,1,1
Spring,2013,A,6,3,8
Spring,2014,A,4,2,9
