season,year,bestgrade2,bestgrade3,bestgrade4,bestgrade5
Spring,2013,A,3,1,10
Spring,2014,A,6,1,1
Spring,2014,A,6,4,1
High school,2012,A,1,7,1
Spring,2014,A,5,3,10
Spring,2014,A,5,4,8
Spring,2014,A,10,2,8
Spring,2014,B,10,1,6
Spring,2014,A,6,1,8
Spring,2014,A,7,5,8
Spring,2013,A,9,3,8
Spring,2014,A,3,1,8
Spring,2013,A,6,2,8
Spring,2013,A,9,4,8
Spring,2014,A,4,1,10
Spring,2014,A,6,4,8
High school,2008,B,10,3,9
Autumn,2014,B,6,4,6
Spring,2014,E,10,1,10
Spring,2013,A,2,4,8
Spring,2013,B,4,5,10
Spring,2013,A,7,2,9
Spring,2013,A,5,2,9
Spring,2014,C,10,1,9
Spring,2014,A,6,7,1
Winter,2014,D,2,1,9
Autumn,2013,B,5,1,10
Spring,2013,A,6,3,8
Spring,2013,A,4,1,8
Summer,2010,C,10,4,8
Spring,2013,A,6,1,9
Spring,2013,B,7,4,9
Spring,2014,B,9,2,10
Spring,2014,A,7,5,10
Spring,2014,A,7,2,9
Spring,2014,A,4,3,10
Spring,2014,A,6,5,9
Autumn,2013,B,4,2,10
Spring,2014,A,6,4,1
Spring,2014,A,1,4,1
Spring,2014,A,6,1,8
Spring,2014,A,6,1,8
High school,2008,A,8,1,8
Spring,2013,A,10,1,1
Spring,2013,A,10,4,6
Summer,2013,B,6,4,1
Spring,2014,A,4,4,10
Spring,2014,A,4,4,10
Spring,2013,B,6,3,8
Autumn,2014,A,6,4,1
Spring,2013,A,2,2,8
Spring,2013,A,10,1,9
Spring,2013,A,4,5,9
Spring,2013,A,6,1,1
Spring,2013,A,6,4,1
Spring,2014,A,4,2,10
Spring,2013,A,10,1,6
Autumn,2009,A,10,4,10
Spring,2014,A,2,3,9
Spring,2013,A,5,4,8
Summer,2013,A,6,4,1
Spring,2013,A,6,1,1
Spring,2014,A,6,4,1
Spring,2014,A,1,3,10
Spring,2014,A,3,5,10
Spring,2014,A,10,4,1
Spring,2014,A,5,2,10
Spring,2014,A,1,2,10
Spring,2013,A,5,1,10
Spring,2013,A,1,4,1
Spring,2013,A,6,1,1
Spring,2013,A,6,4,10
Spring,2013,A,4,3,9
Spring,2014,A,4,6,8
Spring,2013,A,10,4,1
Spring,2013,A,10,4,8
Spring,2014,A,6,4,1
Spring,2013,A,7,6,9
Spring,2014,A,1,4,10
Spring,2014,A,9,6,9
Spring,2013,A,9,3,10
Spring,2013,A,1,4,1
Spring,2014,A,10,3,10
Spring,2014,A,10,1,6
Spring,2014,A,5,1,9
High school,2008,A,8,6,10
Spring,2013,A,1,7,1
Spring,2014,A,4,1,10
Spring,2013,A,10,4,1
Spring,2014,A,6,4,1
Spring,2013,A,8,3,10
Spring,2013,A,6,4,6
Spring,2013,A,10,1,1
Spring,2014,A,6,4,1
Spring,2014,A,6,4,6
Spring,2013,A,10,1,1
Spring,2014,A,10,3,10
Spring,2013,A,10,4,1
Spring,2014,A,10,3,10
Spring,2013,A,5,1,8
Spring,2013,A,6,7,1
Summer,2013,A,1,4,1
High school,2011,A,8,4,8
Autumn,2013,A,6,1,1
Spring,2013,A,10,1,1
Spring,2013,A,9,2,10
Spring,2013,A,10,1,9
Spring,2013,A,3,2,9
Spring,2013,A,7,5,9
Spring,2013,A,10,3,10
Spring,2014,A,6,4,1
High school,current,B,1,2,9
Winter,2013,A,10,1,10
Spring,2013,A,10,1,1
High school,current,A,8,3,9
Spring,2014,A,6,4,1
Winter,2014,A,6,4,1
Winter,2014,A,6,4,1
Spring,2013,A,1,2,9
Winter,2009,B,6,4,10
Spring,2014,A,6,3,10
Spring,2013,A,1,3,10
Spring,2014,A,2,1,10
Spring,2014,A,7,4,8
Winter,2014,A,6,4,1
Autumn,2014,A,1,4,1
Winter,2013,A,6,4,10
Spring,2014,A,5,1,9
Winter,2013,A,6,1,1
Spring,2014,A,6,4,1
Autumn,2014,A,6,4,1
Spring,2013,A,6,5,10
Spring,2014,A,7,2,10
Spring,2013,A,10,4,1
Winter,2014,A,6,4,1
Spring,2014,A,10,3,8
Spring,2014,A,6,5,9
Spring,2013,A,10,7,8
Winter,2013,A,10,1,1
Spring,2013,A,6,1,1
Autumn,2014,B,1,4,6
Winter,2013,A,10,1,1
Spring,2013,A,8,2,8
Spring,2014,A,10,4,9
Winter,2013,A,6,4,1
Autumn,2013,A,1,3,8
Spring,2014,A,3,6,10
Autumn,2013,A,1,4,1
Winter,2014,B,5,7,10
Spring,2013,A,8,3,8
Spring,2014,A,4,2,8
Autumn,2013,A,1,1,1
Spring,2013,A,4,2,9
Spring,2013,A,3,5,10
Spring,2014,A,6,3,8
Spring,2014,A,7,4,8
Winter,2014,A,6,4,1
Spring,2013,A,10,1,1
Winter,2013,A,1,7,1
Autumn,2014,E,10,5,10
Spring,2014,A,1,1,8
Autumn,2014,A,6,4,1
Spring,2014,A,9,5,10
Autumn,2014,A,3,5,8
Winter,2013,A,1,4,1
Spring,2014,A,9,5,10
Summer,2014,A,6,4,1
Summer,2013,A,1,7,1
Spring,2013,A,10,7,1
High school,2011,A,10,7,1
Autumn,2013,A,1,4,1
Summer,2014,B,1,1,10
Winter,2013,A,6,1,1
Spring,2013,A,6,2,10
Spring,2013,A,3,5,9
Spring,2013,A,8,5,9
Winter,2013,A,6,1,1
Spring,2013,A,5,3,9
Spring,2013,A,5,5,9
Summer,2013,A,10,1,1
Spring,2013,A,6,2,8
Winter,2014,A,1,1,1
Winter,2014,A,6,1,1
Winter,2013,A,10,1,1
Autumn,2013,A,1,3,8
Winter,2013,A,10,1,1
Winter,2013,A,1,7,1
Spring,2014,A,9,2,8
Spring,2014,A,8,2,9
Winter,2014,B,1,4,10
Spring,2014,A,4,7,9
Spring,2014,B,9,4,8
Spring,2013,A,10,4,1
Winter,2014,A,6,1,1
Spring,2013,A,8,4,8
Autumn,2013,A,10,4,1
Spring,2013,A,2,3,10
Spring,2014,A,9,4,9
Spring,2013,A,4,1,9
Spring,2013,B,8,3,9
Winter,2013,A,6,4,1
High school,2009,B,3,1,10
Spring,2013,A,1,2,8
Spring,2013,A,7,5,9
Spring,2014,A,4,3,10
Spring,2014,A,10,1,9
Winter,2013,A,6,1,1
Spring,2013,A,2,4,9
Spring,2014,A,7,4,8
Winter,2014,A,6,7,6
Autumn,2014,A,1,4,1
Spring,2014,A,8,4,8
Spring,2013,A,9,5,10
Spring,2013,A,2,1,9
Autumn,2013,A,1,4,1
Spring,2014,A,4,4,9
High school,2011,A,6,4,1
Winter,2013,A,6,4,1
Winter,2013,A,6,1,1
Autumn,2010,A,1,4,1
Spring,2013,A,3,2,10
Spring,2014,A,9,6,8
Winter,2014,A,6,4,1
Spring,2014,A,3,5,9
Spring,2013,A,5,5,9
Winter,2013,A,10,4,1
Spring,2014,A,8,4,10
Spring,2013,A,8,6,8
Spring,2013,A,4,5,8
Spring,2013,A,3,4,10
Spring,2014,A,5,3,8
Spring,2013,A,2,5,10
Spring,2014,A,2,3,9
Autumn,2014,A,3,5,10
Spring,2014,A,6,1,10
Spring,2014,A,8,3,10
Winter,2014,A,10,4,1
High school,current,B,3,2,10
Autumn,2014,A,6,1,1
Autumn,2013,A,10,7,1
Autumn,2013,B,6,1,1
Spring,2014,A,4,2,9
Spring,2013,A,5,3,10
Spring,2014,A,9,1,8
Spring,2014,A,4,3,10
Spring,2013,A,10,4,8
High school,2011,B,9,4,10
Spring,2014,A,5,5,10
Autumn,2013,A,1,4,1
Spring,2013,A,2,5,10
Spring,2014,A,6,7,1
Autumn,2013,A,6,4,1
Spring,2014,A,3,4,10
Autumn,2014,A,1,1,1
Winter,2013,A,1,7,1
High school,2009,C,1,4,8
Autumn,2013,A,1,4,1
Winter,2013,A,1,1,1
Autumn,2013,A,10,4,1
Spring,2014,A,1,2,8
Summer,2013,B,9,7,10
Spring,2013,A,4,3,8
Spring,2014,A,6,4,1
Spring,2013,A,9,4,9
High school,2011,A,1,4,1
High school,2014,A,10,1,1
Spring,2013,B,6,4,1
Spring,2014,A,6,1,1
Spring,2013,A,10,4,1
Spring,2013,C,6,4,6
High school,2013,C,1,4,6
Spring,2013,A,7,2,8
Autumn,2014,A,1,4,1
Spring,2014,A,10,3,8
Spring,2013,A,5,4,8
Spring,2014,A,8,5,9
Spring,2013,A,10,5,10
Spring,2014,B,6,4,1
Spring,2013,A,6,1,1
Autumn,2014,B,5,1,9
Spring,2013,A,7,3,8
Spring,2014,A,5,3,8
Spring,2014,A,6,4,6
High school,current,A,6,4,1
Spring,2014,A,10,4,1
Spring,2010,A,6,1,1
Spring,2014,A,6,1,1
Spring,2013,A,9,5,9
High school,2014,A,1,1,1
Spring,2014,A,10,4,1
Spring,2014,B,5,5,9
High school,2009,A,6,1,1
High school,2013,C,1,4,10
Spring,2013,A,10,4,6
Spring,2013,A,1,1,1
Spring,2014,A,6,2,8
Spring,2014,A,6,1,6
Spring,2014,A,4,3,10
High school,2011,A,1,4,1
Spring,2014,A,6,5,8
Winter,2013,A,1,7,6
Spring,2014,A,5,2,10
High school,2011,B,10,4,10
Spring,2013,A,10,4,9
Spring,2014,A,2,3,9
High school,current,B,1,1,6
Spring,2013,A,7,3,10
High school,2013,A,1,1,1
Spring,2013,A,7,2,9
Spring,2014,B,1,4,1
Spring,2013,A,10,1,6
Autumn,2014,A,1,1,1
Spring,2014,A,9,1,9
High school,2012,A,6,5,10
Autumn,2014,A,6,4,1
Spring,2014,A,9,3,8
High school,2013,A,6,4,6
Spring,2014,A,5,3,8
Autumn,2014,A,10,4,1
Spring,2014,A,2,1,10
Spring,2014,A,10,4,1
Spring,2014,A,4,2,8
Spring,2014,A,5,4,8
Spring,2014,A,7,4,8
Spring,2014,A,1,4,1
Spring,2013,A,6,4,1
Spring,2013,A,6,2,10
Spring,2013,A,6,1,1
Spring,2014,A,7,2,8
Spring,2014,B,6,1,1
Spring,2014,A,6,1,1
Spring,2013,B,6,1,6
Spring,2014,A,4,5,10
Spring,2013,A,10,7,1
High school,2014,A,10,7,1
High school,2009,A,6,1,1
Spring,2014,A,1,4,1
Spring,2013,A,8,1,9
Spring,2014,A,8,1,8
Spring,2014,A,4,4,8
Spring,2013,A,6,1,1
Spring,2014,A,4,4,9
Spring,2013,A,10,4,1
Spring,2014,A,6,3,10
Spring,2013,A,9,2,8
Spring,2013,A,7,3,9
Spring,2014,A,10,1,1
Spring,2014,A,5,5,9
Spring,2013,A,6,2,10
Spring,2014,A,1,4,1
Spring,2013,A,10,7,10
Spring,2014,A,6,4,9
Spring,2014,A,1,1,9
High school,2013,A,1,1,1
Spring,2013,A,10,1,1
Spring,2014,A,1,4,1
Spring,2014,A,10,1,6
Spring,2013,A,3,4,10
Spring,2014,A,1,7,1
Spring,2013,A,3,1,10
Spring,2014,A,2,1,8
Spring,2014,A,1,4,1
Spring,2013,A,1,4,1
Spring,2013,A,5,3,10
High school,2014,C,10,1,10
Spring,2014,A,10,4,1
Autumn,2013,A,1,1,1
Spring,2013,A,7,1,8
Spring,2014,A,6,3,9
Spring,2013,A,6,4,6
Autumn,2013,A,10,4,1
High school,2013,A,6,4,1
Spring,2014,A,6,1,1
High school,2011,A,10,4,1
Spring,2014,A,8,3,9
Spring,2013,A,4,7,8
Winter,2013,A,6,1,1
High school,2010,A,1,4,1
High school,2013,A,10,7,10
Autumn,2014,A,1,4,1
Spring,2013,A,7,1,8
High school,2012,A,9,4,10
Autumn,2011,A,6,4,6
Spring,2014,A,9,3,10
Spring,2013,A,2,2,8
Spring,2014,A,9,5,9
Spring,2014,A,6,1,8
Spring,2013,A,10,4,10
Spring,2013,A,4,1,9
Spring,2013,A,6,4,1
Spring,2014,A,5,1,8
Spring,2014,A,4,3,9
High school,2008,A,6,4,6
Spring,2014,A,6,1,10
Spring,2014,A,6,4,8
Spring,2013,A,7,6,10
Spring,2014,A,6,5,9
Spring,2013,A,7,3,10
High school,2012,B,3,1,8
Spring,2013,A,2,4,9
Autumn,2014,A,6,1,6
Spring,2013,A,7,2,10
Autumn,2013,A,8,4,10
Spring,2014,A,6,1,1
Spring,2013,A,8,6,8
Spring,2013,A,5,4,10
Spring,2013,A,10,4,1
Autumn,2014,A,1,4,6
Autumn,2014,C,4,6,8
Spring,2014,A,2,1,10
Spring,2014,A,4,4,10
Spring,2014,A,5,1,10
Spring,2013,A,4,4,8
Spring,2014,A,6,1,1
Spring,2014,A,6,4,1
Spring,2014,A,4,3,10
Spring,2014,A,6,4,1
Winter,2013,A,6,4,10
Spring,2014,A,10,3,8
Spring,2014,B,7,3,10
High school,2012,A,3,1,9
Spring,2013,A,4,2,8
Spring,2014,A,6,4,1
Spring,2014,A,6,1,10
Spring,2013,A,8,1,9
Spring,2014,A,8,2,9
Spring,2013,A,6,1,1
Autumn,2014,E,9,6,9
Spring,2014,A,2,2,10
Spring,2013,A,8,1,8
Spring,2013,A,7,4,8
High school,2009,A,6,4,1
Spring,2014,A,10,1,9
Autumn,2014,A,10,4,1
High school,2009,B,1,1,9
Spring,2014,A,10,1,1
Spring,2014,A,7,5,8
Spring,2014,A,2,4,9
Autumn,2013,A,6,7,1
Spring,2014,A,5,4,10
Spring,2013,A,6,1,10
Spring,2013,B,5,3,9
Spring,2014,A,10,1,1
Spring,2014,A,9,5,8
Spring,2013,B,10,1,10
Spring,2014,A,6,4,1
Spring,2013,A,6,4,1
Autumn,2014,A,1,4,1
Spring,2013,B,6,1,6
Spring,2013,A,7,2,8
Spring,2014,A,6,4,1
High school,2012,A,8,5,8
Spring,2013,A,1,4,1
Spring,2013,A,10,1,1
Spring,2013,A,6,4,1
Spring,2013,A,5,6,10
Spring,2013,B,4,3,9
Spring,2014,A,6,7,1
High school,2011,A,1,1,1
Spring,2013,A,10,4,10
Spring,2013,A,1,3,9
Spring,2013,A,10,1,1
Spring,2013,A,8,4,9
High school,2013,A,6,4,1
Spring,2014,A,10,5,8
Spring,2013,A,7,5,10
Spring,2014,A,5,5,10
Spring,2014,A,8,4,9
Autumn,2014,A,1,4,10
High school,current,B,1,1,8
Spring,2014,A,10,3,9
High school,2009,D,3,4,8
Autumn,2014,B,5,1,10
Spring,2013,A,8,2,9
Spring,2013,A,6,7,1
Spring,2014,A,10,3,8
Spring,2013,A,9,5,9
Autumn,2013,A,1,4,1
Winter,2014,A,10,4,1
Spring,2014,A,2,3,10
Spring,2014,A,10,1,1
Spring,2013,A,6,4,1
Spring,2014,A,10,1,1
Spring,2013,A,4,1,9
Spring,2014,A,10,1,1
Spring,2013,A,6,4,1
Spring,2013,A,8,2,9
High school,2011,A,6,1,1
Spring,2014,A,3,2,8
Spring,2013,A,8,1,10
Spring,2013,A,6,4,8
Spring,2014,A,10,4,1
Spring,2014,A,1,4,1
Spring,2014,A,9,4,10
Spring,2013,A,10,4,1
Spring,2013,A,10,5,9
High school,2011,A,7,7,9
Summer,2013,A,1,7,1
Spring,2014,A,1,7,1
Spring,2013,A,2,3,8
Spring,2013,A,10,4,1
Spring,2014,A,2,2,8
Spring,2014,A,5,1,10
Spring,2014,B,1,3,10
Spring,2013,A,8,4,9
Spring,2013,A,2,2,8
Spring,2013,A,4,1,9
Spring,2014,B,9,3,8
Spring,2013,A,1,4,1
Spring,2013,A,8,2,8
Spring,2014,A,10,5,8
Spring,2008,A,10,1,1
Summer,2014,A,6,4,1
Spring,2013,A,3,1,8
Spring,2014,A,5,2,8
Spring,2014,A,7,4,8
Autumn,2014,A,1,4,1
Spring,2014,A,3,3,8
Spring,2014,B,2,4,8
Spring,2014,A,10,4,1
Spring,2013,A,1,7,1
Spring,2014,A,10,4,8
Spring,2013,A,5,1,8
Spring,2013,A,3,5,8
Autumn,2014,A,6,4,1
Spring,2013,A,5,3,9
Spring,2014,A,9,2,10
Spring,2011,A,10,1,1
Spring,2014,A,8,2,9
Spring,2013,A,7,2,9
Spring,2014,A,4,6,9
Spring,2014,A,10,3,10
Spring,2013,A,9,5,8
Spring,2014,A,10,4,1
Spring,2014,A,7,4,9
Autumn,2014,A,6,1,1
Spring,2014,A,7,4,8
Spring,2014,A,4,4,8
Spring,2013,A,7,2,8
Spring,2013,A,2,5,9
Spring,2014,B,10,4,1
Winter,2014,B,6,4,1
Spring,2013,B,10,4,8
Spring,2014,A,6,2,9
Spring,2013,A,7,3,8
High school,2009,A,8,6,8
Spring,2013,B,4,3,9
Spring,2013,A,8,5,10
Spring,2013,B,10,1,6
Autumn,2014,A,1,4,6
Spring,2013,A,6,1,6
Autumn,2014,A,1,4,1
Spring,2014,A,5,1,9
Autumn,2014,C,6,4,1
Autumn,2014,A,1,1,1
Spring,2013,A,6,1,9
Spring,2014,A,10,1,6
High school,2010,A,8,1,9
Spring,2014,A,4,1,10
Spring,2014,C,10,1,10
Autumn,2013,C,7,3,9
Spring,2014,A,9,1,9
Spring,2013,A,7,7,9
Spring,2014,A,10,1,1
Spring,2013,A,6,1,10
Summer,2013,D,10,5,9
Spring,2013,A,5,2,8
Spring,2013,A,7,3,9
Spring,2013,A,10,1,1
Spring,2013,A,5,3,10
Spring,2013,A,9,1,9
Spring,2013,A,3,1,10
Spring,2013,A,10,4,1
Spring,2013,A,1,1,10
Spring,2013,A,10,4,1
Spring,2013,A,10,7,10
Spring,2013,A,4,4,10
Spring,2013,A,4,1,10
Spring,2013,A,7,2,10
Autumn,2013,B,4,2,8
Spring,2014,A,4,1,8
Winter,2010,B,7,3,10
Spring,2014,A,1,5,8
High school,current,A,10,1,1
Spring,2013,A,1,4,1
Spring,2014,B,10,4,10
Spring,2013,A,6,2,9
Winter,2013,A,1,7,1
High school,2012,B,9,3,8
High school,2014,A,6,4,1
Spring,2013,A,4,5,8
Spring,2013,A,10,4,9
Spring,2014,A,1,1,1
Spring,2014,A,1,7,1
Autumn,2013,A,6,4,1
Spring,2013,A,8,2,8
High school,2009,B,10,5,10
Spring,2014,A,6,1,6
Spring,2014,A,2,1,9
Spring,2014,A,5,1,9
High school,current,A,8,1,9
Winter,2014,A,6,4,6
Spring,2013,A,9,3,8
Spring,2013,A,4,2,10
High school,2011,A,10,5,10
Spring,2014,A,9,1,10
Spring,2014,A,4,4,9
Spring,2013,B,8,1,8
Spring,2013,C,2,1,8
Spring,2013,A,1,1,1
Spring,2014,A,6,4,8
Spring,2014,A,6,4,1
Spring,2013,A,10,1,1
Spring,2014,A,5,3,9
Spring,2013,A,5,4,8
High school,current,A,10,4,8
Spring,2014,B,10,1,1
Spring,2014,A,2,5,10
Spring,2013,B,10,4,6
Spring,2014,A,10,4,9
Spring,2014,B,6,4,6
Spring,2014,A,6,4,1
Autumn,2013,A,2,3,8
Spring,2014,A,6,4,1
Spring,2013,A,1,4,1
Spring,2013,B,10,4,6
Spring,2014,A,9,3,9
Spring,2013,A,7,1,9
Spring,2013,A,8,2,10
Spring,2014,A,6,1,1
Spring,2014,A,5,5,8
Spring,2014,A,10,1,9
Spring,2014,A,10,4,1
High school,2008,A,9,4,10
Spring,2013,A,4,2,8
Spring,2014,A,8,3,8
Spring,2014,A,3,6,8
Spring,2013,A,2,1,10
Autumn,2014,B,2,4,10
High school,2008,A,3,2,8
Spring,2013,A,7,5,8
Spring,2014,A,7,5,9
Autumn,2014,A,6,4,1
Spring,2013,A,1,4,1
Summer,2013,A,1,4,1
Spring,2014,A,9,2,8
Spring,2013,A,6,2,10
Spring,2014,A,9,3,10
Spring,2014,A,4,4,9
Spring,2014,A,7,5,9
Summer,2014,A,6,7,1
Spring,2014,A,4,2,8
Spring,2013,B,6,5,8
Spring,2014,B,1,4,1
Spring,2013,A,4,1,10
Spring,2013,A,3,1,8
Summer,2014,A,6,4,6
Spring,2013,A,6,4,1
Spring,2014,A,5,1,9
Summer,2013,A,1,7,1
Spring,2014,A,5,3,8
Spring,2013,A,4,3,8
Spring,2013,A,5,5,10
Spring,2013,A,4,5,9
Autumn,2014,A,6,1,1
Summer,current,A,10,7,1
Autumn,2014,A,6,1,1
Spring,2013,A,6,4,1
Summer,2013,B,10,1,10
Autumn,2013,A,10,4,1
High school,2008,A,10,6,10
Spring,2013,A,10,1,1
Spring,2013,A,6,4,1
Spring,2014,A,3,3,10
Autumn,2014,A,6,1,1
Spring,2013,A,10,3,9
Summer,2014,A,6,4,6
Spring,2013,A,1,4,8
Spring,2014,A,9,1,9
Spring,2013,A,9,4,10
Spring,2014,A,6,7,1
Spring,2013,A,4,3,8
Spring,2010,A,6,1,1
Spring,2014,A,8,6,10
Spring,2014,A,3,5,8
Spring,2014,A,8,5,8
Spring,2013,A,7,5,8
Summer,2013,A,6,1,1
Spring,2013,A,6,1,1
Autumn,2013,A,6,1,1
Spring,2013,B,10,2,10
Summer,2013,A,6,4,1
Spring,2013,A,6,4,10
Spring,2013,A,10,4,1
Spring,2014,A,8,2,8
Spring,2013,A,6,3,8
Spring,2013,A,3,3,9
Spring,2013,A,4,2,10
Autumn,2014,B,7,1,9
Spring,2013,A,6,1,9
High school,current,B,1,1,10
Spring,2013,A,6,4,1
Autumn,2013,C,5,2,8
Spring,2014,A,4,1,8
Autumn,2013,A,10,1,1
Spring,2014,A,10,2,10
Spring,2013,A,6,5,10
Spring,2013,A,5,4,10
Spring,2013,A,7,3,9
Spring,2014,A,10,3,8
Spring,2014,A,2,2,8
Spring,2014,A,6,4,10
Spring,2013,A,9,4,9
Autumn,2013,A,1,1,1
Autumn,2014,A,10,1,6
Winter,2014,A,1,4,1
Spring,2014,A,6,3,10
Spring,2013,A,4,1,9
Spring,2013,A,9,5,10
Spring,2014,A,9,5,9
Spring,2013,A,2,5,9
Spring,2013,A,3,7,10
Spring,2013,A,9,3,9
Spring,2013,A,6,1,1
Spring,2013,A,9,3,8
Spring,2013,B,2,4,8
Spring,2013,A,6,4,1
Spring,2013,A,5,4,9
Autumn,2013,A,10,4,1
Spring,2014,A,10,4,1
High school,2011,A,10,6,9
Spring,2013,A,1,2,8
Summer,2014,A,6,4,6
Spring,2013,A,4,2,8
Spring,2013,A,6,4,1
Spring,2013,A,1,1,1
Spring,2010,A,6,4,1
Spring,2013,B,4,3,8
Winter,2012,A,10,1,1
High school,current,A,6,4,1
Spring,2014,A,1,5,10
Spring,2014,A,6,4,1
Spring,2014,A,9,5,8
Spring,2014,A,10,1,1
Spring,2014,A,10,1,1
Spring,2013,A,3,4,9
Spring,2013,A,4,5,9
Spring,2013,A,10,1,1
Spring,2014,A,2,3,8
Spring,2014,A,6,3,8
Autumn,2014,C,4,3,8
Spring,2013,A,6,4,10
Spring,2014,A,4,3,8
Spring,2013,A,1,3,8
Spring,2013,A,4,4,8
Spring,2014,A,1,4,8
Autumn,2013,A,10,4,1
Autumn,2008,B,1,4,1
Spring,2013,A,3,7,10
Spring,2014,A,1,1,1
Spring,2013,A,6,1,1
Spring,2013,A,4,7,10
Spring,2014,A,8,1,8
Spring,2013,A,10,1,10
Spring,2013,A,10,1,8
Spring,2013,A,6,4,6
Autumn,2014,A,1,4,1
Summer,2013,A,10,1,1
Spring,2014,A,7,4,8
Spring,2014,A,10,4,1
Spring,2014,A,9,2,8
Summer,2014,A,1,1,1
Spring,2013,A,4,4,10
Spring,2013,A,7,4,8
Spring,2014,A,7,1,8
Winter,2010,A,1,4,1
Spring,2013,A,1,2,8
Winter,2014,A,6,1,1
Summer,2011,D,1,4,1
Spring,2013,A,6,1,1
Spring,2014,A,1,4,1
Spring,2014,A,9,2,10
Spring,2014,D,6,4,1
Spring,2013,A,5,5,9
Spring,2013,A,1,4,1
Spring,2014,B,4,4,10
Spring,2014,A,4,1,10
Spring,2013,A,10,4,10
Spring,2014,A,7,1,8
Spring,2013,A,6,1,1
Autumn,2013,A,2,4,10
Spring,2013,A,6,4,1
Spring,2013,B,6,4,10
High school,2009,B,10,4,1
Spring,2014,A,4,2,8
Spring,2013,A,5,5,9
Spring,2014,A,2,3,10
Spring,2014,A,4,3,10
Spring,2014,A,10,3,9
Summer,2013,A,1,4,1
Spring,2014,A,9,1,8
Spring,2013,A,9,3,8
Autumn,2013,A,6,4,1
Spring,2014,B,6,3,10
Spring,2013,A,1,4,1
High school,2008,D,6,4,8
Spring,2014,A,1,1,1
Spring,2013,A,9,2,8
Spring,2013,A,6,4,6
Winter,2014,A,1,4,1
Spring,2013,A,9,3,10
Spring,2013,A,8,3,9
High school,2010,B,8,4,9
Autumn,2014,B,5,1,9
Spring,2014,A,7,2,9
Spring,2014,A,6,1,1
Spring,2013,A,6,4,1
Spring,2013,A,9,2,10
Autumn,2013,A,1,4,10
Autumn,2013,A,6,4,1
Autumn,2014,A,1,4,1
Spring,2014,A,10,1,1
Spring,2013,A,6,4,1
Spring,2014,A,1,4,1
Spring,2014,A,4,1,10
Autumn,2013,B,1,4,6
Spring,2013,A,10,2,9
Spring,2013,A,10,1,1
Spring,2014,A,1,7,1
Autumn,2014,A,1,4,1
Autumn,2013,A,1,7,1
High school,2012,A,5,7,8
Autumn,2013,A,1,1,1
Spring,2013,A,1,4,9
Spring,2014,A,6,4,1
High school,2012,A,1,6,10
Autumn,2014,A,1,4,1
Spring,2014,A,6,1,9
Autumn,2013,A,1,4,6
Spring,2010,A,10,1,1
Spring,2014,A,10,3,8
Autumn,2014,A,6,1,1
Autumn,2014,A,1,1,6
Spring,2013,A,8,2,8
High school,2011,A,9,5,9
Spring,2014,A,4,2,8
Spring,2014,A,10,1,6
Spring,2013,A,9,5,8
Spring,2013,A,6,4,1
Spring,2013,A,3,1,8
Spring,2014,A,6,1,1
High school,2012,B,3,2,9
Spring,2014,A,6,4,1
Spring,2013,A,10,1,1
Spring,2014,A,10,2,8
Autumn,2014,A,1,4,10
Spring,2013,A,9,4,9
Winter,2014,A,6,1,1
Spring,2014,A,1,4,8
Spring,2014,F,10,4,1
Spring,2014,A,10,4,1
Winter,2014,B,6,4,1
Spring,2013,A,6,4,1
Autumn,2013,A,2,3,8
Spring,2013,A,1,5,10
High school,2012,B,3,2,10
Spring,2014,A,10,3,9
Autumn,2014,A,6,1,1
Autumn,2014,A,1,1,1
Spring,2014,A,10,7,9
Spring,2013,A,1,4,1
Spring,2014,A,9,4,8
Spring,2014,A,10,3,10
Spring,2013,A,6,4,1
Winter,2014,A,6,1,1
Spring,2014,A,9,4,8
Spring,2014,A,8,5,10
Autumn,2014,A,10,1,10
Spring,2013,A,5,4,8
Summer,2014,A,6,4,1
Spring,2014,A,7,5,10
Spring,2013,A,6,1,1
Spring,2014,B,10,1,6
Summer,2013,A,10,1,1
Summer,2013,A,6,4,1
Spring,2013,A,6,6,9
Autumn,2013,A,1,4,6
Autumn,2014,A,1,4,1
Spring,2013,A,7,4,9
Spring,2013,A,6,4,1
Spring,2014,A,6,1,8
Autumn,2013,E,1,7,9
Autumn,2014,A,1,4,1
Spring,2013,A,9,3,8
Spring,2014,A,7,5,10
Spring,2014,A,10,1,8
Spring,2013,A,5,5,9
Spring,2013,A,6,4,8
Autumn,2014,A,6,1,1
Spring,2014,A,8,4,9
Autumn,2013,A,1,4,1
Spring,2013,A,4,3,9
High school,current,A,3,2,10
Spring,2014,A,10,7,10
Spring,2013,A,2,4,9
Spring,2014,A,6,4,1
Autumn,2013,A,10,1,1
Autumn,2014,A,6,1,1
Spring,2014,A,3,3,10
Spring,2014,A,10,5,10
Spring,2013,A,9,4,10
Autumn,2014,B,4,1,9
Spring,2013,A,3,1,9
Spring,2014,A,8,3,8
Autumn,2013,A,6,1,1
Spring,2013,A,10,1,1
Spring,2014,A,9,2,10
Spring,2013,A,7,1,9
Spring,2013,A,5,4,8
Spring,2013,A,7,5,10
Spring,2013,A,10,7,9
Autumn,2014,A,1,4,1
Spring,2014,A,10,1,6
Autumn,2014,A,6,4,6
Spring,2014,A,10,1,1
High school,2010,B,9,4,9
High school,2011,B,9,5,9
Summer,2013,A,6,1,1
Spring,2014,C,8,1,10
