1,3
2,18
2,18
2,30
2,30
2,7
2,35
1,10
2,13
1,13
2,8
1,2
1,8
2,25
2,20
1,1
1,2
2,2
1,10
2,12
1,2
1,2
2,30
2,30
2,6
1,30
2,7
1,5
2,25
2,2
1,3
2,3
2,20
2,15
1,4
1,8
1,6
1,5
1,4
1,6
2,13
1,5
1,3
1,7
2,2
1,5
2,15
1,2
1,6
1,3
1,3
2,6
1,8
2,4
1,2
1,3
2,5
2,6
1,3
1,8
1,8
1,6
2,6
1,6
2,40
1,30
1,4
1,6
1,2
1,4
1,3
1,15
2,3
2,5
1,3
2,13
2,13
2,5
1,5
1,5
2,7
2,20
2,7
2,30
2,8
2,12
1,8
1,8
2,15
2,12
1,4
2,4
2,15
2,15
1,50
2,16
2,20
2,50
1,3
1,5
2,20
2,30
1,4
2,50
2,50
2,4
1,5
2,3
2,4
1,8
1,5
1,2
1,6
2,5
1,4
1,5
2,13
2,8
2,6
1,2
1,7
1,7
2,3
2,5
2,7
2,6
2,50
2,50
1,2
1,6
1,7
1,7
2,15
1,4
1,8
1,8
1,2
1,6
1,6
1,2
1,5
1,5
2,5
2,3
1,2
1,2
2,26
2,40
2,40
1,1
1,2
1,8
1,8
2,7
1,3
1,5
1,5
2,18
2,2
1,4
2,4
1,3
2,15
2,3
2,3
2,12
2,10
1,6
2,30
2,20
1,3
2,1
1,3
2,12
1,3
1,3
1,3
2,7
1,5
2,20
1,3
2,20
2,5
2,20
2,10
1,4
1,4
1,13
2,13
1,5
1,5
2,8
1,5
2,10
2,25
2,14
2,11
2,20
1,5
2,20
1,6
2,70
1,10
1,15
1,15
1,5
2,2
1,1
1,5
2,20
1,4
1,5
1,3
2,15
2,15
1,3
2,8
1,6
2,6
1,4
1,6
1,8
1,3
1,5
1,5
2,11
2,5
2,12
1,5
1,5
2,13
1,8
2,3
2,20
2,20
1,3
2,5
2,1
2,12
1,5
1,2
2,15
1,1
1,5
2,5
1,7
1,6
2,6
2,5
1,1
2,3
2,7
1,7
2,13
1,3
1,5
1,4
1,2
2,2
1,8
1,8
1,5
1,6
1,7
1,7
1,1
2,5
1,1
1,8
1,8
1,5
2,6
2,15
1,10
1,10
1,3
1,8
1,5
1,6
1,6
1,8
1,42
1,2
1,6
1,6
1,8
2,20
2,20
1,3
1,5
1,10
2,10
1,5
1,6
2,6
2,12
1,1
1,1
2,20
2,9
2,15
2,15
1,6
2,6
1,3
2,23
1,2
1,6
2,6
1,1
1,10
1,4
1,4
1,4
2,25
2,14
2,14
1,7
1,7
1,30
2,5
2,16
2,16
1,5
1,1
1,5
2,35
2,35
1,5
1,10
1,10
2,3
2,10
1,4
2,8
2,20
1,6
1,6
2,14
1,2
1,5
2,6
1,6
2,6
1,7
1,9
2,4
1,2
1,8
1,8
1,9
1,9
2,1
2,8
2,5
1,7
2,10
1,4
1,4
1,8
2,8
2,20
1,4
2,8
2,50
2,50
2,12
2,12
1,4
1,6
2,6
1,6
1,6
1,5
1,8
1,4
2,12
2,12
1,8
1,3
2,3
2,2
1,5
1,5
2,20
2,20
2,22
1,6
2,6
2,30
1,2
1,5
2,14
1,2
1,2
2,2
2,4
2,10
1,4
2,21
2,11
1,3
1,3
2,4
1,19
1,5
2,5
1,21
1,5
1,5
1,20
2,6
1,2
1,7
1,6
1,6
2,11
2,11
2,5
2,5
1,5
1,8
1,8
1,6
1,3
1,7
2,8
2,7
2,15
1,6
1,5
1,5
1,7
1,7
2,15
2,15
2,3
1,5
1,5
