nposition,nratio
-1,0
-1,-1.0
1,-2.3333333333333335
-1,-1.5
NA,NA
-1,-0.6666666666666667
-1,-1.5
NA,NA
1,-0.6666666666666667
1,-0.6666666666666667
-1,NA
-1,0.19999999999999996
-1,0.19999999999999996
-1,1.6
1,-0.25
1,-1.5
1,-0.25
NA,NA
-1,-0.4285714285714286
1,-0.6666666666666667
-1,0.5
1,0
-1,-4.0
-1,3.0
-1,-2.3333333333333335
1,-1.0
-1,1.0
-1,NA
-1,-0.6666666666666667
-1,-2.3333333333333335
-1,-2.3333333333333335
1,-0.6666666666666667
1,-1.5
-1,-1.0
-1,2.0
1,-1.0
1,-0.4285714285714286
1,-0.11111111111111116
1,-0.4285714285714286
-1,-1.5
1,-2.3333333333333335
-1,2.0
-1,-0.6666666666666667
-1,2.0
-1,0
1,0
-1,-4.0
1,-0.4285714285714286
-1,-1.5
-1,0.5
1,-0.6666666666666667
1,-4.0
-1,-1.5
-1,2.0
-1,-0.11111111111111116
-1,-0.6666666666666667
-1,NA
1,-1.0
-1,0.3999999999999999
-1,0.6000000000000001
-1,-1.5
-1,-1.0
-1,-1.0
-1,-1.0
-1,-0.25
1,-4.0
-1,-0.4285714285714286
-1,0.5
-1,-1.0
1,-2.3333333333333335
-1,-0.4285714285714286
1,-0.6666666666666667
-1,0.30000000000000004
1,-1.0
1,-2.3333333333333335
1,-2.3333333333333335
-1,0.5
-1,0.5
-1,0.19999999999999996
-1,1.0
1,-4.0
1,-2.3333333333333335
1,-0.6666666666666667
-1,-1.0
-1,-0.25
-1,0.5
1,0.10000000000000009
-1,-1.0
-1,2.0
-1,-0.11111111111111116
-1,-1.5
-1,-0.25
NA,0
1,-1.0
1,-1.5
-1,0.5
-1,-0.6666666666666667
-1,-2.3333333333333335
-1,1.0
1,-0.4285714285714286
1,-4.0
